"trending_date","title","channel_title","category_id","publish_time","views","likes","dislikes","comment_count","comments_disabled","ratings_disabled","video_error_or_removed","publish_hour","publish_when","publish_wday","timetotrend"
2017-11-14,"One Change That Would Make Pacific Rim a Classic","Cracked","Comedy",2017-11-12 12:00:05,295639,8011,638,1256,FALSE,FALSE,FALSE,12,"8am to 3pm","Sunday","2"
2017-11-14,"How does your body know you're full? - Hilary Coller","TED-Ed","Education",2017-11-13 11:00:07,78044,5398,53,385,FALSE,FALSE,FALSE,11,"8am to 3pm","Monday","1"
2017-11-14,"HomeMade Electric Airplane","PeterSripol","Science and Technology",2017-11-13 10:30:17,97007,11963,36,2211,FALSE,FALSE,FALSE,10,"8am to 3pm","Monday","1"
2017-11-14,"Founding An Inbreeding-Free Space Colony","SciShow","Education",2017-11-12 17:00:01,223871,8421,191,1214,FALSE,FALSE,FALSE,17,"3pm to 12am","Sunday","2"
2017-11-14,"How Can You Control Your Dreams?","Life Noggin","Education",2017-11-13 09:00:03,115791,9586,75,2800,FALSE,FALSE,FALSE,9,"8am to 3pm","Monday","1"
2017-11-14,"The Making of Hela's Headdress from Thor: Ragnarok","Tested","Science and Technology",2017-11-12 10:00:01,224019,3585,138,208,FALSE,FALSE,FALSE,10,"8am to 3pm","Sunday","2"
2017-11-14,"Is It Dangerous To Talk To A Camera While Driving?","Tom Scott","Education",2017-11-13 11:00:03,144418,11758,89,1014,FALSE,FALSE,FALSE,11,"8am to 3pm","Monday","1"
2017-11-14,"What $4,800 Will Get You In NYC | Sweet Digs Home Tour | Refinery29","Refinery29","Howto and Style",2017-11-12 11:00:01,145921,1707,578,673,FALSE,FALSE,FALSE,11,"8am to 3pm","Sunday","2"
2017-11-14,"Using Other People's Showers","Gus Johnson","Comedy",2017-11-13 09:44:24,33980,4884,52,234,FALSE,FALSE,FALSE,9,"8am to 3pm","Monday","1"
2017-11-14,"SPAGHETTI BURRITO VS SPAGHETTI BURRITO","HellthyJunkFood","Entertainment",2017-11-12 09:00:04,223077,8676,193,1392,FALSE,FALSE,FALSE,9,"8am to 3pm","Sunday","2"
2017-11-14,"78557 and Proth Primes - Numberphile","Numberphile","Science and Technology",2017-11-13 07:13:36,80705,4687,41,437,FALSE,FALSE,FALSE,7,"12am to 8am","Monday","1"
2017-11-14,"A Smart... MUG?! - Take apart a Heated Thermos!","JerryRigEverything","Howto and Style",2017-11-13 11:00:03,120727,9033,224,1346,FALSE,FALSE,FALSE,11,"8am to 3pm","Monday","1"
2017-11-14,"LeBron James admits he was ripping Phil Jackson and thinks DeShaun Watson should be the Browns qu...","Cleveland Cavaliers on cleveland.com","News and Politics",2017-11-13 10:42:28,27943,156,36,83,FALSE,FALSE,FALSE,10,"8am to 3pm","Monday","1"
2017-11-14,"Nick Andopolis: Drummer","FaeryInLoveInc","Film and Animation",2011-05-29 13:03:12,50867,715,238,246,FALSE,FALSE,FALSE,13,"8am to 3pm","Sunday","8+"
2017-11-14,"I TOOK THE $3,000,000 LAMBO TO CARMAX! They offered me......","hp_overload","Autos and Vehicles",2017-11-12 20:43:12,98378,4035,495,486,FALSE,FALSE,FALSE,20,"3pm to 12am","Sunday","1"
2017-11-14,"Amazon Christmas Advert 2017 - Toys & Games","Amazon.co.uk","Entertainment",2017-11-06 12:52:50,26000,119,69,0,TRUE,FALSE,FALSE,12,"8am to 3pm","Monday","8+"
2017-11-14,"Eminem - Walk On Water (Audio) ft. BeyoncÃ©","EminemVEVO","Music",2017-11-10 12:00:03,17158531,787419,43420,125882,FALSE,FALSE,FALSE,12,"8am to 3pm","Friday","4"
2017-11-14,"What's Inside a Detectives Car?","officer401","Entertainment",2017-11-12 18:41:37,67661,3781,84,626,FALSE,FALSE,FALSE,18,"3pm to 12am","Sunday","2"
2017-11-14,"New Emirates First Class Suite | Boeing 777 | Emirates","Emirates","Travel and Events",2017-11-12 00:55:42,141148,1661,70,236,FALSE,FALSE,FALSE,0,"12am to 8am","Sunday","2"
2017-11-14,"Me-O Cats Commercial","Nobrand","People and Blogs",2017-04-21 02:47:32,98966,2486,184,532,FALSE,FALSE,FALSE,2,"12am to 8am","Friday","8+"
2017-11-14,"TL;DW - Every DCEU Movie Before Justice League","Screen Junkies","Film and Animation",2017-11-12 13:00:03,288922,7515,792,2111,FALSE,FALSE,FALSE,13,"8am to 3pm","Sunday","2"
2017-11-14,"Hunter Hayes - You Should Be Loved (Part One Of Pictures)","Hunter Hayes","Music",2017-11-13 10:01:18,13917,1318,24,76,FALSE,FALSE,FALSE,10,"8am to 3pm","Monday","1"
2017-11-14,"Celebrities on Thanksgiving 2017!","Niki and Gabi","Comedy",2017-11-12 18:41:48,605932,38397,1387,3412,FALSE,FALSE,FALSE,18,"3pm to 12am","Sunday","2"
2017-11-14,"Nickelback - The Betrayal Act III [Official Video]","Nickelback","Music",2017-11-13 10:31:44,57169,6927,161,565,FALSE,FALSE,FALSE,10,"8am to 3pm","Monday","1"
2017-11-14,"U2 - The Blackout","U2VEVO","Music",2017-11-13 12:00:04,60506,5389,106,455,FALSE,FALSE,FALSE,12,"8am to 3pm","Monday","1"
2017-11-14,"Iraq-Iran earthquake: Deadly tremor hits border region - BBC News","BBC News","News and Politics",2017-11-12 16:16:40,34785,308,26,413,FALSE,FALSE,FALSE,16,"3pm to 12am","Sunday","2"
2017-11-14,"Dennis Smith Jr. and LeBron James go back and forth","Ben Rohrbach","Sports",2017-11-13 10:11:00,945,7,5,8,FALSE,FALSE,FALSE,10,"8am to 3pm","Monday","1"
2017-11-14,"Matthew Santoro - FACTS (Official Music Video) f. Ellevan & Humble the Poet","MatthewSantoro","Music",2017-11-11 11:00:01,328330,15186,15448,7484,FALSE,FALSE,FALSE,11,"8am to 3pm","Saturday","3"
2017-11-14,"AFFAIRS, EX BOYFRIENDS, $18MILLION NET WORTH - GOOGLE US | Shawn and Andrew","Shawn Johnson East","People and Blogs",2017-11-11 10:00:03,321053,4451,1772,895,FALSE,FALSE,FALSE,10,"8am to 3pm","Saturday","3"
2017-11-14,"iPhone X vs Makeup Transformation (Face ID TEST)","dope2111","Howto and Style",2017-11-11 19:45:54,1456472,33505,1660,2160,FALSE,FALSE,FALSE,19,"3pm to 12am","Saturday","2"
2017-11-14,"People are Awesome & The Pet Collective present Pets are Awesome!","People are Awesome","Entertainment",2017-11-13 08:00:06,69844,3417,33,160,FALSE,FALSE,FALSE,8,"8am to 3pm","Monday","1"
2017-11-14,"Stephon Marbury and Jimmer Fredette fight in China","NBA Highlights Â· YouTube","Sports",2017-11-10 13:23:05,956169,2017,2425,1447,FALSE,FALSE,FALSE,13,"8am to 3pm","Friday","4"
2017-11-14,"Heidelberg's nifty hook-and-lateral to the left tackle","D3sports.com","Sports",2017-11-12 21:15:30,4569,35,18,19,FALSE,FALSE,FALSE,21,"3pm to 12am","Sunday","1"
2017-11-14,"ELDERS REACT TO iPHONE X (Facial Recognition, Animojis)","FBE","Entertainment",2017-11-10 18:05:25,2045386,45406,2842,8309,FALSE,FALSE,FALSE,18,"3pm to 12am","Friday","4"
2017-11-14,"Will It Watermarble?! Sister Edition | Watermarbling 9 random objects in nail polish!","Simply Nailogical","Entertainment",2017-11-11 14:03:43,1842393,99086,1339,11800,FALSE,FALSE,FALSE,14,"8am to 3pm","Saturday","3"
2017-11-14,"Lin-Manuel Miranda's next act: Helping rebuild Puerto Rico","CBS Sunday Morning","News and Politics",2017-11-12 10:05:55,6473,205,6,15,FALSE,FALSE,FALSE,10,"8am to 3pm","Sunday","2"
2017-11-14,"Wildest Superstar distractions: WWE Top 10, Nov. 11, 2017","WWE","Sports",2017-11-11 10:00:00,1044813,15397,838,1100,FALSE,FALSE,FALSE,10,"8am to 3pm","Saturday","3"
2017-11-14,"Jennifer Lopez - Amor, Amor, Amor (Official Video) ft. Wisin","JenniferLopezVEVO","Music",2017-11-10 10:00:00,9548677,190083,15015,11473,FALSE,FALSE,FALSE,10,"8am to 3pm","Friday","4"
2017-11-14,"BLIND(folded) CAKE DECORATING CONTEST (with Molly Burke) // Grace Helbig","Grace Helbig","People and Blogs",2017-11-11 13:08:04,197062,7250,217,456,FALSE,FALSE,FALSE,13,"8am to 3pm","Saturday","3"
2017-11-14,"Jason Momoa Wows Hugh Grant With Some Dothraki | The Graham Norton Show","The Graham Norton Show","Entertainment",2017-11-10 14:06:23,1496225,16116,236,605,FALSE,FALSE,FALSE,14,"8am to 3pm","Friday","4"
2017-11-14,"JaVale McGee's Parking Lot Chronicles: Episode 3","Kevin Durant","Sports",2017-11-11 15:00:02,162597,5734,106,525,FALSE,FALSE,FALSE,15,"8am to 3pm","Saturday","3"
2017-11-14,"Kellyanne Conway on Roy Moore This Week Abc: Trumpâ€™s Not Being Briefed On This Bit By Bit 11/12/17","JimBrowski 96HourNews","News and Politics",2017-11-12 10:24:29,9132,21,8,64,FALSE,FALSE,FALSE,10,"8am to 3pm","Sunday","2"
2017-11-14,"Train Swipes Parked Vehicle","ViralHog","Autos and Vehicles",2017-11-12 19:46:11,7265,89,8,22,FALSE,FALSE,FALSE,19,"3pm to 12am","Sunday","1"
2017-11-14,"Daddy's Home 2 - Movie Review","Jeremy Jahns","Entertainment",2017-11-11 01:34:48,291597,8209,344,1062,FALSE,FALSE,FALSE,1,"12am to 8am","Saturday","3"
2017-11-14,"The Super Google Pixel 2 Camera Upgrade!","Jonathan Morrison","Science and Technology",2017-11-11 10:38:32,290801,10237,377,1016,FALSE,FALSE,FALSE,10,"8am to 3pm","Saturday","3"
2017-11-14,"7.3 Magnitude Earthquake Along Iraq-Iran Border Leaves At Least 400 Dead, 7,200 Injured | TIME","TIME","News and Politics",2017-11-13 10:44:35,5304,52,13,68,FALSE,FALSE,FALSE,10,"8am to 3pm","Monday","1"
2017-11-14,"#VeteransDay: Thank You for Everything","YouTube Spotlight","Entertainment",2017-11-10 10:07:13,812516,26917,1979,4998,FALSE,FALSE,FALSE,10,"8am to 3pm","Friday","4"
2017-11-14,"G-Eazy - The Plan (Official Video)","GEazyMusicVEVO","Music",2017-11-10 00:00:01,2642930,115795,3055,6410,FALSE,FALSE,FALSE,0,"12am to 8am","Friday","4"
2017-11-14,"U.S. Navy Three Carrier Formation in Western Pacific Ocean","U.S. Navy","News and Politics",2017-11-12 08:13:33,105058,493,54,347,FALSE,FALSE,FALSE,8,"8am to 3pm","Sunday","2"
2017-11-14,"Batman: Gotham by Gaslight - Exclusive Trailer (2018)","IGN","Entertainment",2017-11-10 14:00:00,537715,8231,413,970,FALSE,FALSE,FALSE,14,"8am to 3pm","Friday","4"
2017-11-14,"Wearing Online Dollar Store Makeup For A Week","Safiya Nygaard","People and Blogs",2017-11-10 20:19:33,2744430,115426,1110,6541,FALSE,FALSE,FALSE,20,"3pm to 12am","Friday","3"
2017-11-14,"Getting My Driver's License | Lele Pons","Lele Pons","Comedy",2017-11-10 13:30:01,3358068,120876,8279,6408,FALSE,FALSE,FALSE,13,"8am to 3pm","Friday","4"
2017-11-14,"Watch Norman Reedus Come Face to Face with his â€˜Walking Deadâ€™ Double","INSIDER","Entertainment",2017-11-13 12:00:26,4732,203,6,33,FALSE,FALSE,FALSE,12,"8am to 3pm","Monday","1"
2017-11-14,"John Lewis Christmas Ad 2017 - #MozTheMonster","John Lewis","Howto and Style",2017-11-10 02:38:29,7224515,55681,10247,9479,FALSE,FALSE,FALSE,2,"12am to 8am","Friday","4"
2017-11-14,"Ed Sheeran - Perfect (Official Music Video)","Ed Sheeran","Music",2017-11-09 06:04:14,33523622,1634124,21082,85067,FALSE,FALSE,FALSE,6,"12am to 8am","Thursday","5"
2017-11-14,"Top 10 iPhone Apps for Productivity & Content Creation","Sara Dietschy","Film and Animation",2017-11-10 22:56:10,52591,2233,187,255,FALSE,FALSE,FALSE,22,"3pm to 12am","Friday","3"
2017-11-14,"Reacting to Running a Half Marathon | MEGANBYTES EP. 101","MeganBatoon","Entertainment",2017-11-10 18:00:01,75822,2978,147,243,FALSE,FALSE,FALSE,18,"3pm to 12am","Friday","4"
2017-11-14,"Justice League Reactions, Should Disney Buy Netflix - The John Campea Show","John Campea","Entertainment",2017-11-11 12:55:27,43715,1550,109,1031,FALSE,FALSE,FALSE,12,"8am to 3pm","Saturday","3"
2017-11-14,"Foster The People - Sit Next to Me (Official Video)","fosterthepeopleVEVO","Music",2017-11-10 12:00:05,303956,18603,585,1745,FALSE,FALSE,FALSE,12,"8am to 3pm","Friday","4"
2017-11-14,"Rosie Oâ€™Donnell On Donald Trumpâ€™s Hostility Toward Her | WWHL","Watch What Happens Live with Andy Cohen","Entertainment",2017-11-10 07:59:55,238643,2429,5381,2325,FALSE,FALSE,FALSE,7,"12am to 8am","Friday","4"
2017-11-14,"Mayo Clinic's first face transplant patient meets donorâ€™s family","Mayo Clinic","Science and Technology",2017-11-10 07:04:17,237307,1896,74,260,FALSE,FALSE,FALSE,7,"12am to 8am","Friday","4"
2017-11-14,"Jason Derulo - Tip Toe feat. French Montana (Official Lyric Video)","Jason Derulo","Music",2017-11-10 09:40:48,1282413,37669,1732,1691,FALSE,FALSE,FALSE,9,"8am to 3pm","Friday","4"
2017-11-14,"Jason Momoa & Lisa Bonet: Love at First Sight","The Late Late Show with James Corden","Entertainment",2017-11-10 04:35:00,1497519,15504,353,1084,FALSE,FALSE,FALSE,4,"12am to 8am","Friday","4"
2017-11-14,"Howard Stern: George Takei Talks About Harvey Weinstein and Sexually Assault","cocheusadoooo","Comedy",2017-10-17 16:01:44,148226,355,47,178,FALSE,FALSE,FALSE,16,"3pm to 12am","Tuesday","8+"
2017-11-14,"A VERY #EXTRA EBAY SHOPPING HAUL!","Amber Scholl","Howto and Style",2017-11-10 21:42:23,484185,23296,1184,1858,FALSE,FALSE,FALSE,21,"3pm to 12am","Friday","3"
2017-11-14,"EXTREME GOLDEN TAN TRANSFORMATION","John Maclean","Howto and Style",2017-11-10 15:40:44,300617,8133,2693,2911,FALSE,FALSE,FALSE,15,"8am to 3pm","Friday","4"
2017-11-14,"Inside the Cheese-Aging Caves 30 Feet Under Brooklyn | I Got a Guy | Bon AppÃ©tit","Bon AppÃ©tit","Howto and Style",2017-11-10 11:01:04,92523,2323,40,134,FALSE,FALSE,FALSE,11,"8am to 3pm","Friday","4"
2017-11-14,"Some NFL players call for an end to Thursday night football after 8 players were injured last week","ABC News","News and Politics",2017-11-12 15:26:46,7524,67,19,56,FALSE,FALSE,FALSE,15,"8am to 3pm","Sunday","2"
2017-11-14,"ICE PRIMER? DOES IT WORK?!","mayratouchofglam","Howto and Style",2017-11-11 00:23:36,103927,3571,278,399,FALSE,FALSE,FALSE,0,"12am to 8am","Saturday","3"
2017-11-14,"Mark Ruffalo Reads Hilarious Thirst Tweets","BuzzFeed Celeb","People and Blogs",2017-11-10 19:30:16,177707,6271,88,275,FALSE,FALSE,FALSE,19,"3pm to 12am","Friday","3"
2017-11-14,"Game Night Official Trailer #1 (2018) Rachel McAdams, Jason Bateman Comedy Movie HD","Zero Media","Film and Animation",2017-11-09 12:11:32,1751064,16430,945,1231,FALSE,FALSE,FALSE,12,"8am to 3pm","Thursday","5"
2017-11-14,"Little Big Town with Jimmy Webb - Wichita Lineman (Live from the CMA Awards)","CMAVEVO","Music",2017-11-09 17:23:51,46746,439,66,55,FALSE,FALSE,FALSE,17,"3pm to 12am","Thursday","5"
2017-11-14,"Alan Walker - All Falls Down (Behind The Scenes)","Alan Walker","Music",2017-11-11 10:11:18,746092,34839,537,2541,FALSE,FALSE,FALSE,10,"8am to 3pm","Saturday","3"
2017-11-14,"FANTASY (feat. Amber Liu) by SUPERFRUIT","SUPERFRUIT","Entertainment",2017-11-10 12:00:51,836830,82320,1279,7998,FALSE,FALSE,FALSE,12,"8am to 3pm","Friday","4"
2017-11-14,"2017 Champions Showdown: Day 3","Saint Louis Chess Club","Education",2017-11-11 21:39:01,67429,438,23,23,FALSE,FALSE,FALSE,21,"3pm to 12am","Saturday","2"
2017-11-14,"Taylor Swift - â€œNew Yearâ€™s Dayâ€ù Fan Performance","ABC Television Network","Entertainment",2017-11-09 21:32:15,2237404,72593,1830,3501,FALSE,FALSE,FALSE,21,"3pm to 12am","Thursday","4"
2017-11-14,"Animal Adventure Park Giraffe Cam","Animal Adventure Park","Pets and Animals",2017-11-11 19:18:43,45455,2282,35,17,FALSE,FALSE,FALSE,19,"3pm to 12am","Saturday","2"
2017-11-14,"How To Dry a Shirt in 30 Seconds","HowToBasic","Howto and Style",2017-11-09 13:36:48,2063667,98804,11682,11443,FALSE,FALSE,FALSE,13,"8am to 3pm","Thursday","5"
2017-11-14,"Everything Wrong With Baby Driver In 14 Minutes Or Less","CinemaSins","Film and Animation",2017-11-09 12:14:11,2736733,58967,3492,7915,FALSE,FALSE,FALSE,12,"8am to 3pm","Thursday","5"
2017-11-14,"Kimbra - Top of the World (Official Music Video)","kimbramusic","Music",2017-11-10 10:43:00,165698,8599,361,930,FALSE,FALSE,FALSE,10,"8am to 3pm","Friday","4"
2017-11-14,"Camila Cabello COMPLETELY NAILS 'Finish The Lyric'","Capital FM","Music",2017-11-10 09:40:32,836544,40195,373,976,FALSE,FALSE,FALSE,9,"8am to 3pm","Friday","4"
2017-11-14,"Edna's registered owner thought she was dead for 2 years!!!","Hope For Paws - Official Rescue Channel","Pets and Animals",2017-11-10 13:02:04,284666,16396,81,949,FALSE,FALSE,FALSE,13,"8am to 3pm","Friday","4"
2017-11-14,"When Someone Has A Crush on You | Lilly Singh","IISuperwomanII","Comedy",2017-11-09 17:21:13,3371669,202676,3394,20086,FALSE,FALSE,FALSE,17,"3pm to 12am","Thursday","5"
2017-11-14,"Neck Deep - Parachute (Official Music Video)","Hopeless Records","Music",2017-11-10 13:03:54,195685,14338,171,1070,FALSE,FALSE,FALSE,13,"8am to 3pm","Friday","4"
2017-11-14,"Idiot's Guide to Japanese Squat Toilets","Rachel and Jun","People and Blogs",2017-11-09 06:24:14,1098897,43875,1326,4702,FALSE,FALSE,FALSE,6,"12am to 8am","Thursday","5"
2017-11-14,"Sam Smith surprises brides at their wedding! (At The BBC)","BBC Music","Music",2017-11-09 17:26:10,893462,22326,833,943,FALSE,FALSE,FALSE,17,"3pm to 12am","Thursday","5"
2017-11-14,"Mark Wahlberg's Kids Use Him for His Celeb Connections","Late Night with Seth Meyers","Comedy",2017-11-10 06:00:04,225286,1731,193,206,FALSE,FALSE,FALSE,6,"12am to 8am","Friday","4"
2017-11-14,"H&M Holiday 2017 starring Nicki Minaj â€“ official teaser","H&M","Entertainment",2017-11-09 03:01:40,264793,3283,853,0,TRUE,FALSE,FALSE,3,"12am to 8am","Thursday","5"
2017-11-14,"Camila Cabello - Havana (Vertical Video) ft. Young Thug","CamilaCabelloVEVO","Music",2017-11-10 00:01:00,5476737,286268,4083,12254,FALSE,FALSE,FALSE,0,"12am to 8am","Friday","4"
2017-11-14,"FIRST TIME IM DOING THIS! TALKS WITH LIZA.","Liza Koshy","Comedy",2017-11-09 22:43:43,3578502,307435,2573,12248,FALSE,FALSE,FALSE,22,"3pm to 12am","Thursday","4"
2017-11-14,"Owen Wilson on Meeting Julia Roberts, and Tandem Biking","TheEllenShow","Entertainment",2017-11-10 09:00:10,304926,3305,130,275,FALSE,FALSE,FALSE,9,"8am to 3pm","Friday","4"
2017-11-14,"Surprise After Surprise | October Vlog","clothesencounters","Howto and Style",2017-11-10 13:42:55,247319,10138,153,639,FALSE,FALSE,FALSE,13,"8am to 3pm","Friday","4"
2017-11-14,"THE SHAPE OF WATER - Final Trailer","FoxSearchlight","Film and Animation",2017-11-09 17:00:07,296434,3327,142,377,FALSE,FALSE,FALSE,17,"3pm to 12am","Thursday","5"
2017-11-14,"Luke Bryan - O Holy Night (Audio)","LukeBryanVEVO","Music",2017-11-10 00:00:01,125962,5048,139,369,FALSE,FALSE,FALSE,0,"12am to 8am","Friday","4"
2017-11-14,"Niall Horan - Too Much To Ask (Acoustic)","NiallHoranVEVO","Music",2017-11-10 12:00:05,419341,53572,168,3083,FALSE,FALSE,FALSE,12,"8am to 3pm","Friday","4"
2017-11-14,"Empire Of The Sun - Way To Go","empireofthesunvevo","Music",2017-11-10 00:00:06,138988,7999,84,612,FALSE,FALSE,FALSE,0,"12am to 8am","Friday","4"
2017-11-14,"NF - Let You Down","NFVEVO","Music",2017-11-09 00:00:05,1774018,88417,1002,7686,FALSE,FALSE,FALSE,0,"12am to 8am","Thursday","5"
2017-11-14,"Google Pixelbook: $1000 of Weird!","Marques Brownlee","Science and Technology",2017-11-09 16:18:33,1575525,52829,1524,5864,FALSE,FALSE,FALSE,16,"3pm to 12am","Thursday","5"
2017-11-14,"Bastille - World Gone Mad (from Bright: The Album) [Official Music Video]","Atlantic Records","Music",2017-11-09 12:03:42,626688,25115,499,1392,FALSE,FALSE,FALSE,12,"8am to 3pm","Thursday","5"
2017-11-14,"SECRETS REVEALED! HOW I LAY MY LACE WIGS! | AALIYAHJAY","MsAaliyahJay","Howto and Style",2017-11-09 20:30:00,219030,14303,398,1099,FALSE,FALSE,FALSE,20,"3pm to 12am","Thursday","4"
2017-11-14,"Typical audience reaction to a bass solo...","Danny Sapko","Music",2017-11-08 19:44:51,493662,7693,181,388,FALSE,FALSE,FALSE,19,"3pm to 12am","Wednesday","5"
2017-11-14,"Meryl Streep Meets Anna Wintour at Vogue","Vogue","Entertainment",2017-11-09 13:20:27,1017803,25122,628,1504,FALSE,FALSE,FALSE,13,"8am to 3pm","Thursday","5"
2017-11-14,"I Trained To Become Batman _Ÿ_‡ (Justice League)","Michelle Khare","Entertainment",2017-11-09 06:30:00,139955,4417,217,457,FALSE,FALSE,FALSE,6,"12am to 8am","Thursday","5"
2017-11-14,"Russian Bots and Trolls | November 8, 2017 Act 2 | Full Frontal on TBS","Full Frontal with Samantha Bee","People and Blogs",2017-11-09 02:00:01,362009,5505,2356,1264,FALSE,FALSE,FALSE,2,"12am to 8am","Thursday","5"
2017-11-14,"The Ultimate Red Lip Look | Nicole Guerriero","Nicole Guerriero","People and Blogs",2017-11-09 19:24:29,294387,15247,385,976,FALSE,FALSE,FALSE,19,"3pm to 12am","Thursday","4"
2017-11-14,"Sean Astin Knew Nothing About 'Lord Of The Rings' Once Upon A Time","The Late Show with Stephen Colbert","Entertainment",2017-11-09 03:35:00,844653,11616,313,1518,FALSE,FALSE,FALSE,3,"12am to 8am","Thursday","5"
2017-11-14,"Mean Tweets â€“ Country Music Edition #3","Jimmy Kimmel Live","Comedy",2017-11-08 23:58:04,1315873,9312,584,769,FALSE,FALSE,FALSE,23,"3pm to 12am","Wednesday","5"
2017-11-14,"Could Anastasia Become A Disney Princess?","SuperCarlinBrothers","People and Blogs",2017-11-09 18:27:18,188003,9091,135,2814,FALSE,FALSE,FALSE,18,"3pm to 12am","Thursday","5"
2017-11-14,"Sia - Snowman","SiaVEVO","Music",2017-11-09 10:45:05,1624771,84426,1130,5981,FALSE,FALSE,FALSE,10,"8am to 3pm","Thursday","5"
2017-11-14,"Tesla's biggest problem is one nobody saw coming","Business Insider","News and Politics",2017-11-10 08:00:02,125970,935,507,262,FALSE,FALSE,FALSE,8,"8am to 3pm","Friday","4"
2017-11-14,"2CELLOS - Cinema Paradiso [OFFICIAL VIDEO]","2CELLOS","Music",2017-11-10 08:24:10,205869,11198,120,446,FALSE,FALSE,FALSE,8,"8am to 3pm","Friday","4"
2017-11-14,"Sam Smith - The Thrill of It All ALBUM REVIEW","theneedledrop","Music",2017-11-10 16:38:57,98422,2926,106,798,FALSE,FALSE,FALSE,16,"3pm to 12am","Friday","4"
2017-11-14,"Birthdays - Simon's Cat | GUIDE TO","Simon's Cat","Pets and Animals",2017-11-09 08:34:58,426078,19323,245,945,FALSE,FALSE,FALSE,8,"8am to 3pm","Thursday","5"
2017-11-14,"Andy Grammer - The Good Parts (Official Audio)","Andy Grammer","Music",2017-11-09 17:27:45,33315,1365,24,91,FALSE,FALSE,FALSE,17,"3pm to 12am","Thursday","5"
2017-11-14,"Remy Ma - Wake Me Up (Audio) ft. Lil' Kim","RemyMaVEVO","Music",2017-11-08 12:00:00,1231518,32648,6221,9288,FALSE,FALSE,FALSE,12,"8am to 3pm","Wednesday","6"
2017-11-14,"L.A. Noire - Nintendo Switch Trailer","Nintendo","Gaming",2017-11-09 14:59:48,154872,7683,164,1734,FALSE,FALSE,FALSE,14,"8am to 3pm","Thursday","5"
